"Country.of.residence","Age","Gender","Kids","Edu","Work.Status","Annual.Income","Current.Occupation","How.long.have.you.held.this.position...Years","How.long.have.you.held.this.position...Months","Community.size","Marital.Status","Number.of.sons","Number.of.daughters","X.DP.1..I.waste.a.lot.of.time.on.trivial.matters.before.getting.to.the.final.decisions","X.DP.2..Even.after.I.make.a.decision.I.delay.acting.upon.it","X.DP.3..I.donâ..t.make.decisions.unless.I.really.have.to","X.DP.4..I.delay.making.decisions.until.itâ..s.too.late","X.DP.5..I.put.off.making.decisions.until.itâ..s.too.late","X.AIP.1..I.pay.my.bills.on.time","X.AIP.2.I.am.prompt.and.on.time.for.most.appointments.","X.AIP.3.I.lay.out.my.clothes.the.night.before.I.have.an.important.appointment..so.I.wonâ..t.be.late","X.AIP.4..I.find.myself.running.later.than.I.would.like.to.be","X.AIP.5..I.donâ..t.get.things.done.on.time","X.AIP.6..If.someone.were.teaching.a.course.on.how.to.get.things.done.on.time..I.would.attend","X.AIP.7..My.friends.and.family.think.I.wait.until.the.last.minute.","X.AIP.8..I.get.important.things.done.with.time.to.spare","X.AIP.9..I.am.not.very.good.at.meeting.deadlines","X.AIP.10..I.find.myself.running.out.of.time.","X.AIP.11..I.schedule.doctorâ..s.appointments.when.I.am.supposed.to.without.delay","X.AIP.12..I.am.more.punctual.than.most.people.I.know","X.AIP.13..I.do.routine.maintenance..e.g...changing.the.car.oil..on.things.I.own.as.often.as.I.should","X.AIP.14.When.I.have.to.be.somewhere.at.a.certain.time.my.friends.expect.me.to.run.a.bit.late","X.AIP.15.Putting.things.off.till.the.last.minute.has.cost.me.money.in.the.past","X.GP.1.I.often.find.myself.performing.tasks.that.I.had.intended.to.do.days.before","X.GP2..I.often.miss.concerts..sporting.events..or.the.like.because.I.donâ..t.get.around.to.buying.tickets.on.time","X.GP.3..When.planning.a.party..I.make.the.necessary.arrangements.well.in.advance","X.GP.4..When.it.is.time.to.get.up.in.the.morning..I.most.often.get.right.out.of.bed","X.GP.5..A.letter.may.sit.for.days.after.I.write.it.before.mailing.it.possible","X.GP.6..I.generally.return.phone.calls.promptly","X.GP.7..Even.jobs.that.require.little.else.except.sitting.down.and.doing.them..I.find.that.they.seldom.get.done.for.days","X.GP.8..I.usually.make.decisions.as.soon.as.possible","X.GP.9..I.generally.delay.before.starting.on.work.I.have.to.do","X.GP.10..When.traveling..I.usually.have.to.rush.in.preparing.to.arrive.at.the.airport.or.station.at.the.appropriate.time","X.GP.11..When.preparing.to.go.out..I.am.seldom.caught.having.to.do.something.at.the.last.minute","X.GP.12..In.preparation.for.some.deadlines..I.often.waste.time.by.doing.other.things","X.GP.13..If.a.bill.for.a.small.amount.comes..I.pay.it.right.away","X.GP.14..I.usually.return.a.â.œRSVPâ...request.very.shortly.after.receiving.it","X.GP.15..I.often.have.a.task.finished.sooner.than.necessary","X.GP.16..I.always.seem.to.end.up.shopping.for.birthday.gifts.at.the.last.minute","X.GP.17..I.usually.buy.even.an.essential.item.at.the.last.minute","X.GP.18..I.usually.accomplish.all.the.things.I.plan.to.do.in.a.day","X.GP.19..I.am.continually.saying.â.œIâ..ll.do.it.tomorrowâ..","X.GP.20..I.usually.take.care.of.all.the.tasks.I.have.to.do.before.I.settle.down.and.relax.for.the.evening","X.SWLS.1..In.most.ways.my.life.is.close.to.my.ideal","X.SWLS.2.The.conditions.of.my.life.are.excellent","X.SWLS.3..I.am.satisfied.with.my.life.","X.SWLS.4..So.far.I.have.gotten.the.important.things.I.want.in.life","X.SWLS.5..If.I.could.live.my.life.over..I.would.change.almost.nothing","Do.you.consider.yourself.a.procrastinator.","Do.others.consider.you.a.procrastinator.","DPMean","AIPMean","GPMean","SWLSMean","HDI.categories","HDI"
"United Kingdom",45,"Male","No","ma","full-time",150000,NA,6,2,"Large Town","Married",0,0,3,2,2,2,2,1,2,2,3,2,1,3,2,1,2,2,2,2,1,2,3,1,3,1,2,3,2,3,2,2,3,3,1,4,3,2,2,3,2,3,5,5,5,5,4,"no","no",2.2,1.86666666666667,2.4,4.8,"Very high huaman development",0.909
"United Kingdom",25,"Male","No","ma","full-time",10000,NA,2,0,"Village","Single",0,0,4,5,4,5,4,2,5,3,4,4,1,3,4,4,4,3,4,3,4,4,4,3,2,2,5,3,3,4,3,4,4,4,2,4,4,3,3,5,5,4,2,1,1,1,2,"yes","no",4.4,3.46666666666667,3.55,1.4,"Very high huaman development",0.909
"United Kingdom",67.5,"Female","Yes","ma","student",55000,NA,5,0,"Village","Divorced",0,1,3,3,3,2,2,1,1,4,3,2,2,2,3,1,3,1,4,1,3,1,3,2,1,4,2,1,3,3,3,2,3,2,1,3,4,3,2,2,3,3,3,4,4,3,2,"yes","yes",2.6,2.13333333333333,2.5,3.2,"Very high huaman development",0.909
"United Kingdom",32.5,"Male","No","deg","full-time",67500,NA,1,0,"Medium-Sized","Single",0,0,4,4,1,3,3,1,1,5,4,3,5,1,2,1,2,2,1,1,2,3,4,1,1,2,1,1,3,1,3,1,1,4,1,1,3,1,1,4,1,1,3,5,3,2,5,"yes","no",3,2.26666666666667,1.8,3.6,"Very high huaman development",0.909
"United Kingdom",55,"Male","Yes","ltuni","part-time",55000,NA,0,0,NA,"Divorced",0,2,5,4,4,2,2,1,1,1,2,3,2,1,3,2,4,2,1,5,1,2,4,3,2,4,3,2,4,3,4,1,4,4,1,4,3,2,2,4,3,3,4,3,4,3,4,"yes","no",3.4,2.06666666666667,3,3.6,"Very high huaman development",0.909
"United Kingdom",32.5,"Female","Yes","deg","unemployed",10000,NA,1,2,"Village","Married",1,0,3,3,3,2,3,2,2,3,2,2,2,2,5,2,3,3,3,3,3,2,4,2,2,3,4,4,4,4,3,3,2,3,2,2,4,2,2,3,3,3,4,4,4,4,4,"yes","yes",2.8,2.6,2.95,4,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","phd","full-time",67500,"college professor",3,0,"Small City","Single",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,5,5,5,5,5,"no","no",1,1,1.25,5,"Very high huaman development",0.909
"United Kingdom",25,"Female","No","ma","student",15000,NA,0,0,"Large Town","Single",0,0,3,3,3,3,3,2,1,1,3,2,2,2,1,1,3,3,2,3,2,2,2,2,3,2,3,3,3,3,3,3,4,3,3,2,2,4,3,3,4,2,2,4,2,3,1,"yes","no",3,2,2.85,2.4,"Very high huaman development",0.909
"United Kingdom",32.5,"Female","No","ma","student",10000,"Doctor Research",2,6,"Small City","Married",0,0,5,4,4,4,4,2,5,4,5,5,5,5,4,5,5,2,5,3,5,5,5,1,2,5,5,2,4,4,5,5,5,5,2,2,3,4,4,5,5,5,3,4,3,4,2,"yes","yes",4.2,4.33333333333333,3.9,3.2,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","phd","student",10000,NA,2,6,"Small Town","Single",0,0,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,4,1,2,1,1,4,1,1,1,2,1,1,3,1,1,3,3,3,3,2,"no","no",1,1.6,1.5,2.8,"Very high huaman development",0.909
"United Kingdom",45,"Male","No","deg","full-time",150000,"Customer Service",8,9,"Large-City","Married",0,0,4,4,5,4,4,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,4,5,3,3,5,3,4,2,3,3,4,2,"yes","yes",4.2,4,3.6,2.8,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","deg","full-time",15000,"Receptionist",3,0,"Village","Single",0,0,5,5,4,3,3,2,3,3,4,4,5,5,4,3,4,4,4,4,3,3,5,1,3,4,3,3,5,4,5,4,5,4,3,2,4,3,4,4,3,4,1,3,1,1,4,"yes","yes",4,3.66666666666667,3.65,2,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","ma","full-time",15000,"cataloguer /  freelance artist",3,0,"Large-City","Single",0,0,4,5,5,5,5,1,3,5,4,5,4,4,4,3,4,2,4,3,4,2,5,3,3,5,5,5,5,5,5,2,5,5,1,4,5,5,3,5,5,5,2,2,2,3,3,"yes","",4.8,3.46666666666667,4.3,2.4,"Very high huaman development",0.909
"United Kingdom",22,"Male","No","ltuni","part-time",15000,NA,0,6,"Large-City","Single",0,0,4,5,4,4,4,5,5,5,5,5,2,5,5,5,5,3,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,"yes","yes",4.2,4.6,4.85,1.4,"Very high huaman development",0.909
"United Kingdom",55,"Female","Yes","deg","part-time",NA,"deputy practice manager",4,0,"Medium-Sized","Divorced",2,1,5,5,5,5,5,5,1,4,4,5,5,4,5,5,4,4,3,4,3,5,5,2,5,5,5,5,5,4,5,5,3,5,4,5,5,5,4,5,5,5,2,3,2,3,2,"yes","yes",5,4.06666666666667,4.6,2.4,"Very high huaman development",0.909
"United Kingdom",21,"Male","No","dip","student",10000,"Unemployed",1,5,"Village","Single",0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,1,1,1,1,1,"yes","yes",5,5,4.7,1,"Very high huaman development",0.909
"United Kingdom",24,"Male","No","ma","student",10000,NA,0,0,"Large-City","Single",0,0,4,4,4,4,4,1,3,4,4,4,4,5,4,4,5,2,3,2,2,4,5,2,2,5,2,2,3,4,5,4,2,5,1,2,5,4,3,4,3,4,3,3,2,4,4,"yes","yes",4,3.4,3.35,3.2,"Very high huaman development",0.909
"United Kingdom",55,"Female","No","ma","full-time",35000,"Copy Writer",10,0,"Medium-Sized","Divorced",0,0,5,4,4,2,2,2,1,3,2,2,1,2,3,1,4,5,2,5,1,2,4,3,2,5,4,2,4,5,2,1,2,4,5,2,3,2,2,5,5,5,2,2,3,2,2,"yes","no",3.4,2.4,3.35,2.2,"Very high huaman development",0.909
"United Kingdom",24,"Male","No","deg","full-time",55000,"Programmer",2,2,"Medium-Sized","Single",0,0,4,4,4,4,4,1,2,5,3,4,3,4,4,5,4,5,5,5,3,4,5,3,3,2,4,5,4,4,4,3,3,4,5,5,4,4,4,4,4,5,2,3,2,2,1,"yes","yes",4,3.8,3.95,2,"Very high huaman development",0.909
"United Kingdom",25,"Female","No","ma","full-time",35000,"Architect",0,8,"Medium-Sized","Single",0,0,4,4,4,4,4,3,4,4,4,4,2,2,3,3,5,3,4,4,4,4,4,2,2,4,4,3,4,4,5,3,3,5,4,4,4,5,5,4,4,4,3,4,3,4,3,"yes","no",4,3.53333333333333,3.85,3.4,"Very high huaman development",0.909
"United Kingdom",32.5,"Male","No","deg","full-time",87500,"Analyst",3,2,"Large-City","Single",0,0,4,5,3,3,4,2,2,2,3,3,4,2,3,2,4,5,2,3,3,5,3,3,2,5,2,3,4,3,4,3,4,4,3,4,4,4,4,5,4,4,1,1,1,1,1,"yes","no",3.8,3,3.6,1,"Very high huaman development",0.909
"United Kingdom",37.5,"Male","No","ltuni","full-time",55000,"Web Designer",10,0,"Large Town","Single",0,0,4,5,4,3,3,1,1,2,2,4,3,3,3,2,2,1,1,2,2,2,4,1,2,3,4,2,5,3,5,1,3,5,2,3,4,3,4,4,2,5,3,3,3,3,1,"yes","no",3.8,2.06666666666667,3.25,2.6,"Very high huaman development",0.909
"United Kingdom",21,"Male","No","ltuni","full-time",25000,"IT Support",0,7,"Large Town","Single",0,0,1,4,2,2,2,1,1,2,2,3,4,3,4,2,1,2,2,4,1,2,4,4,5,1,2,2,4,4,4,2,4,4,2,5,4,1,3,5,5,5,1,2,1,1,1,"yes","yes",2.2,2.26666666666667,3.5,1.2,"Very high huaman development",0.909
"United Kingdom",32.5,"Male","No","ltuni","full-time",35000,"airline",6,0,"Large-City","Single",0,0,2,4,3,2,2,1,1,2,1,4,1,2,2,2,1,2,2,4,2,3,3,1,1,1,3,3,4,2,4,3,4,3,1,4,4,4,4,3,4,4,3,5,1,5,5,"yes","no",2.6,2,3,3.8,"Very high huaman development",0.909
"United Kingdom",55,"Female","No","deg","part-time",45000,"Creative Consultant",17,0,"Small Town","Divorced",0,0,5,4,3,4,4,5,1,5,3,5,5,3,4,3,3,3,2,5,1,5,5,5,2,3,3,2,5,5,1,2,3,5,5,5,5,3,4,5,4,5,4,3,3,4,2,"yes","no",4,3.53333333333333,3.85,3.2,"Very high huaman development",0.909
"United Kingdom",23,"Female","No","deg","student",10000,NA,17,0,"Medium-Sized","Single",0,0,4,2,2,2,2,3,1,3,2,2,5,2,4,3,4,2,3,5,1,4,4,1,2,5,5,2,4,2,4,4,3,4,2,2,4,4,2,4,5,3,2,3,3,4,3,"yes","yes",2.4,2.93333333333333,3.3,3,"Very high huaman development",0.909
"United Kingdom",45,"Female","Yes","grade","full-time",35000,"treatment support co-ordinator",1,0,"Large Town","Single",1,1,2,3,4,2,2,3,1,4,3,3,3,3,4,2,3,3,1,4,4,3,3,2,4,1,5,3,4,4,3,2,4,3,3,3,3,4,4,2,2,3,4,4,4,5,4,"yes","no",2.6,2.93333333333333,3.1,4.2,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","ma","student",15000,NA,1,6,"Large-City","Single",0,0,4,4,2,3,3,1,1,2,4,2,2,3,4,2,3,2,2,4,1,2,4,4,2,2,2,2,2,4,4,2,4,3,2,2,3,3,3,3,4,3,3,2,4,4,4,"yes","yes",3.2,2.33333333333333,2.9,3.4,"Very high huaman development",0.909
"United Kingdom",28,"Male","No","deg","student",25000,NA,0,8,"Large-City","Single",0,0,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,5,3,3,4,3,4,4,4,4,5,4,3,3,3,2,2,"yes","yes",4,3.73333333333333,3.8,2.6,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","ma","full-time",67500,NA,0,4,"Large-City","Married",0,0,4,4,3,2,2,2,3,3,4,2,4,4,2,2,3,2,4,2,3,4,4,2,3,5,2,2,4,2,4,3,2,4,4,2,3,2,3,3,3,2,3,3,3,4,3,"yes","yes",3,2.93333333333333,2.95,3.2,"Very high huaman development",0.909
"United Kingdom",32.5,"Male","No","deg","full-time",87500,"producer",2,0,"Large-City","Single",0,0,2,4,3,2,2,2,2,4,2,4,4,4,4,4,4,4,2,2,2,3,4,4,4,5,4,5,4,2,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,"yes","yes",2.6,3.13333333333333,3.9,3.4,"Very high huaman development",0.909
"United Kingdom",22,"Female","No","ma","student",10000,NA,0,7,"Medium-Sized","Single",0,0,2,3,1,1,1,1,1,5,2,2,1,1,1,2,4,2,2,4,1,1,2,2,2,5,4,3,2,1,3,1,2,3,2,3,3,4,2,4,2,3,5,5,5,3,4,"yes","no",1.6,2,2.65,4.4,"Very high huaman development",0.909
"United Kingdom",32.5,"Female","No","phd","full-time",45000,"Academic",2,0,"Medium-Sized","Single",0,0,2,3,4,2,2,1,1,2,2,4,1,1,3,2,2,2,2,2,1,1,2,2,2,4,3,2,3,3,4,1,4,4,2,2,2,4,4,4,2,3,4,3,3,2,3,"yes","no",2.6,1.8,2.85,3,"Very high huaman development",0.909
"United Kingdom",32.5,"Male","No","phd","full-time",55000,"Postdoctoral Researcher",2,0,"Large-City","Divorced",0,0,4,4,5,3,3,2,4,3,5,4,2,5,5,4,5,3,5,4,5,3,5,2,4,1,1,3,4,5,5,5,5,5,3,5,5,5,4,3,4,5,5,5,5,5,4,"yes","yes",3.8,3.93333333333333,3.95,4.8,"Very high huaman development",0.909
"United Kingdom",28,"Female","No","ma","student",25000,NA,1,9,"Large-City","Single",0,0,5,5,5,5,5,1,1,1,2,4,5,5,4,4,5,4,4,4,4,4,4,4,3,4,5,2,5,4,5,2,4,5,3,4,4,5,4,5,5,5,3,3,3,4,3,"yes","yes",5,3.46666666666667,4.1,3.2,"Very high huaman development",0.909
"United Kingdom",20,"Female","No","deg","student",15000,"student/barmaid",2,0,"Small Town","Single",0,0,3,3,3,2,2,2,2,2,3,2,2,3,3,1,3,3,2,3,2,3,3,1,2,3,3,4,2,3,4,3,3,3,2,2,3,4,4,3,3,4,4,4,4,4,4,"yes","no",2.6,2.4,2.95,4,"Very high huaman development",0.909
"United Kingdom",45,"Female","Yes","deg","part-time",35000," teacher",3,8,"Small Town","Separated",1,0,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,5,5,5,3,4,3,4,1,5,5,5,5,5,5,1,5,4,5,5,5,4,4,5,5,3,3,2,3,3,"yes","yes",4.2,4.53333333333333,4.25,2.8,"Very high huaman development",0.909
"United Kingdom",45,"Female","Yes","dip","part-time",25000,"Executive officer",5,0,"Small Town","Married",1,1,4,4,5,4,4,2,2,4,3,3,1,3,4,2,2,3,3,4,3,2,3,4,5,5,2,5,4,4,3,2,4,3,3,4,4,4,4,4,4,4,2,2,2,2,2,"yes","yes",4.2,2.73333333333333,3.75,2,"Very high huaman development",0.909
"United Kingdom",37.5,"Male","No","ma","full-time",67500,"Business / Test Analyst",5,0,"Large Town","Single",0,0,5,5,5,5,5,3,2,2,2,5,5,2,4,5,5,2,2,5,1,5,5,2,1,1,2,3,5,5,5,1,5,5,3,3,4,4,5,5,5,5,1,1,1,1,1,"yes","yes",5,3.33333333333333,3.7,1,"Very high huaman development",0.909
"United Kingdom",37.5,"Female","Yes","ma","part-time",45000,"IT security consultant",3,0,"Medium-Sized","Divorced",1,0,3,3,3,4,4,2,4,4,5,4,5,4,5,4,5,2,4,1,3,5,5,2,2,4,4,3,5,4,5,5,5,5,3,3,3,4,4,5,5,3,2,2,1,1,1,"yes","yes",3.4,3.8,3.95,1.4,"Very high huaman development",0.909
"United Kingdom",55,"Male","No","deg","part-time",10000,"IT Support Engineer",2,0,"Large-City","Single",0,0,4,4,5,5,5,5,4,3,5,5,5,4,4,5,5,3,3,4,4,5,5,4,3,4,4,3,5,4,5,4,4,4,4,4,4,5,3,4,5,5,1,1,1,1,1,"yes","yes",4.6,4.26666666666667,4.15,1,"Very high huaman development",0.909
"United Kingdom",45,"Female","No","ma","full-time",25000,NA,4,0,"Large Town","Married",0,0,3,3,2,2,2,3,1,3,1,1,3,1,2,1,2,5,1,4,2,3,2,2,2,4,2,2,2,2,3,2,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,"yes","no",2.4,2.2,2.45,3,"Very high huaman development",0.909
"United Kingdom",45,"Male","Yes","phd","full-time",150000,"IT consultant",17,0,"Medium-Sized","Married",2,1,2,3,4,3,3,1,1,1,1,3,1,1,3,3,4,1,1,3,1,3,3,1,2,1,1,4,3,5,4,2,2,5,4,4,4,4,3,4,4,2,5,5,5,5,5,"yes","no",3,1.86666666666667,3.1,5,"Very high huaman development",0.909
"United Kingdom",45,"Male","No","ma","full-time",87500,NA,14,0,"Large-City","Married",0,0,4,3,3,3,3,2,3,4,3,3,3,3,4,3,4,3,4,2,2,3,4,3,4,2,3,3,4,5,5,4,4,5,2,4,5,5,4,3,2,5,3,3,3,2,2,"yes","yes",3.2,3.06666666666667,3.8,2.6,"Very high huaman development",0.909
"United States",25,"Male","No","ltuni","student",10000,"Research intern",0,10,"Small City","Single",0,0,4,3,5,3,3,2,1,5,2,4,5,2,3,5,4,5,4,3,3,3,3,1,4,5,4,2,4,2,3,4,3,4,3,4,3,4,3,5,4,3,4,4,4,4,4,"yes","no",3.6,3.4,3.4,4,"Very high huaman development",0.92
"United States",23,"Female","No","deg","full-time",35000,"employed by a church",0,6,"Large-City","Single",0,0,4,4,4,3,3,1,2,4,4,3,4,2,3,3,5,3,3,4,3,2,4,2,3,4,3,4,4,4,5,4,4,5,3,4,4,4,3,4,2,4,4,4,3,4,3,"yes","no",3.6,3.06666666666667,3.7,3.6,"Very high huaman development",0.92
"United States",32.5,"Male","No","deg","full-time",87500,"Finance",10,0,"Large-City","Single",0,0,2,3,3,2,2,1,4,5,5,4,2,5,4,2,3,4,4,4,4,3,4,2,4,5,4,4,4,4,4,4,2,4,4,5,4,4,4,3,4,5,4,4,4,4,3,"yes","yes",2.4,3.6,3.9,3.8,"Very high huaman development",0.92
"United States",55,"Male","Yes","ltuni","full-time",55000,"maintenance tech.",28,0,"Medium-Sized","Divorced",1,0,2,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,"yes","yes",2.8,2.86666666666667,2.95,2.8,"Very high huaman development",0.92
"United States",45,"Male","Yes","deg","full-time",150000,"Publishing",17,0,"Small City","Married",1,2,5,5,4,4,4,3,2,2,3,3,4,2,4,3,3,4,2,3,1,2,2,1,4,3,2,3,2,4,4,1,3,3,4,3,4,5,3,5,4,4,2,3,3,2,2,"yes","yes",4.4,2.73333333333333,3.2,2.4,"Very high huaman development",0.92
"United States",37.5,"Female","Yes","deg","part-time",35000,"Nurse",13,5,"Small Town","Married",1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,4,2,2,1,2,2,1,2,2,3,4,5,5,5,4,"yes","no",1.2,1.33333333333333,1.85,4.6,"Very high huaman development",0.92
"United States",45,"Male","Yes","deg","full-time",67500,"Chief of Staff",1,7,"Medium-Sized","Married",2,5,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,3,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,4,3,4,4,3,"no","no",1.2,1.66666666666667,1.6,3.6,"Very high huaman development",0.92
"United States",45,"Female","Yes","deg","unemployed",NA,NA,0,0,"Large-City","Married",0,2,2,3,2,2,2,1,1,4,2,1,1,1,2,2,2,3,1,3,1,3,1,2,3,4,3,2,2,3,2,2,1,3,3,3,3,2,2,3,2,2,4,4,4,4,5,"no","no",2.2,1.86666666666667,2.4,4.2,"Very high huaman development",0.92
"United States",37.5,"Female","Yes","deg","part-time",10000,NA,3,0,"Medium-Sized","Married",0,1,3,5,4,4,4,3,1,5,3,4,2,2,4,3,5,5,3,4,1,5,5,1,2,5,4,3,5,4,4,5,4,4,5,4,4,1,1,5,5,4,2,2,2,1,1,"yes","no",4,3.33333333333333,3.75,1.6,"Very high huaman development",0.92
"United States",32.5,"Female","No","ma","full-time",45000,"Social Worker",1,6,"Medium-Sized","Single",0,0,3,4,3,3,3,1,3,4,5,4,1,5,4,3,5,1,3,4,4,5,5,4,3,4,5,4,5,4,5,4,4,4,3,4,4,4,4,4,4,3,2,2,2,2,2,"yes","yes",3.2,3.46666666666667,4.05,2,"Very high huaman development",0.92
"United States",45,"Male","No","ma","retired",150000,"Finance",5,0,"Medium-Sized","Single",0,0,4,4,4,3,3,1,1,3,3,2,2,1,3,3,3,3,2,3,4,2,3,2,3,4,1,2,3,5,5,1,2,2,1,5,4,4,4,5,5,4,3,3,2,3,2,"yes","no",3.6,2.4,3.25,2.6,"Very high huaman development",0.92
"United States",55,"Female","Yes","dip","full-time",35000,"training Coordinator",4,0,"Large Town","Divorced",1,1,4,3,3,3,3,3,2,5,4,4,5,3,4,3,5,3,3,4,3,3,5,2,3,1,3,3,5,4,5,4,4,3,2,5,3,4,3,4,3,4,2,2,3,1,1,"yes","yes",3.2,3.6,3.5,1.8,"Very high huaman development",0.92
"United States",24,"Male","No","ltuni","student",10000,"secretary",0,2,"Large Town","Divorced",0,0,2,3,3,3,2,4,3,4,1,3,3,4,3,4,2,5,3,2,2,2,2,2,4,3,3,4,1,4,2,1,5,2,4,4,5,1,3,3,2,4,1,3,2,3,2,"yes","yes",2.6,3,2.95,2.2,"Very high huaman development",0.92
"United States",37.5,"Female","No","deg","full-time",67500,"manager",0,4,"Large-City","Married",0,0,4,5,2,3,3,4,4,5,5,3,5,4,5,2,4,4,4,3,4,4,4,4,4,4,1,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,"yes","yes",3.4,4,3.8,2.2,"Very high huaman development",0.92
"United States",32.5,"Female","Yes","ma","full-time",45000,"law enforcement",0,6,"Small Town","Married",1,0,5,5,4,3,3,1,1,4,5,5,5,4,4,4,5,4,3,5,2,5,5,4,4,3,5,5,5,5,5,3,3,5,3,5,4,5,5,5,5,5,4,3,4,5,5,"yes","no",4,3.8,4.45,4.2,"Very high huaman development",0.92
"United States",22,"Male","No","ltuni","part-time",10000,"Server",2,0,"Small City","Single",0,0,4,3,5,4,4,3,2,3,3,3,3,3,4,2,4,3,3,2,2,4,4,3,2,5,3,3,5,4,4,2,3,4,3,3,5,3,3,3,3,4,3,3,3,2,3,"yes","yes",4,2.93333333333333,3.45,2.8,"Very high huaman development",0.92
"United States",22,"Male","No","ma","student",15000,NA,1,8,"Large-City","Single",0,0,2,5,4,3,3,1,1,2,3,3,1,2,2,2,3,4,2,2,3,3,3,3,3,4,1,3,3,3,4,3,3,3,1,4,3,3,3,2,3,4,3,4,4,3,3,"no","no",3.4,2.26666666666667,2.95,3.4,"Very high huaman development",0.92
"United States",25,"Male","No","dip","full-time",45000,"EOD",4,0,"Medium-Sized","Single",0,0,4,2,1,2,2,2,3,5,4,4,2,5,3,4,4,3,5,5,4,5,5,1,5,5,5,2,4,2,5,5,3,4,4,4,3,5,5,4,4,5,3,3,4,2,2,"yes","yes",2.2,3.86666666666667,4,2.8,"Very high huaman development",0.92
"United States",25,"Female","No","deg","full-time",35000,"bookkeeper",2,0,"Medium-Sized","Single",0,0,5,5,4,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,2,3,5,3,4,5,4,5,1,4,5,4,3,5,1,1,1,5,1,1,3,2,2,2,"yes","yes",3.6,4.4,3.35,2,"Very high huaman development",0.92
"United States",20,"Female","No","ltuni","student",10000,"Tutor",0,6,"Small City","Single",0,0,2,1,4,3,3,1,2,1,5,2,3,4,2,1,3,2,3,4,5,3,2,1,1,5,3,4,3,4,4,4,4,4,2,3,3,2,1,2,1,2,4,3,5,4,5,"yes","no",2.6,2.73333333333333,2.75,4.2,"Very high huaman development",0.92
"United States",67.5,"Female","Yes","ltuni","retired",25000,"retired",7,0,"Small City","Married",2,2,4,4,4,3,2,1,1,1,3,3,5,4,4,1,4,1,2,2,1,3,2,1,1,1,2,1,3,2,3,1,5,2,1,1,3,5,1,3,2,2,3,3,4,4,2,"yes","yes",3.4,2.4,2.1,3.2,"Very high huaman development",0.92
"United States",55,"Female","Yes","deg","full-time",150000,"Administrator",12,3,"Large-City","Separated",1,1,4,4,4,3,3,4,4,4,5,5,5,4,4,5,5,3,5,3,4,4,4,3,3,3,4,2,4,4,4,5,4,4,2,2,4,4,4,4,4,3,2,2,3,4,4,"yes","yes",3.6,4.26666666666667,3.55,3,"Very high huaman development",0.92
"United States",45,"Female","No","phd","part-time",67500,"psychologis",9,0,"Medium-Sized","Married",0,0,5,3,3,1,1,1,1,5,3,5,5,5,5,2,5,5,1,1,3,5,5,5,1,1,5,3,5,3,5,2,5,5,4,1,1,5,5,5,5,5,5,5,5,5,1,"yes","yes",2.6,3.46666666666667,3.8,4.2,"Very high huaman development",0.92
"United States",19,"Male","No","ltuni","part-time",15000,"host",0,1,"Large-City","Single",0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,"yes","yes",3,3,3,3.2,"Very high huaman development",0.92
"United States",55,"Male","No","ma","unemployed",87500,NA,0,0,"Large-City","Married",0,0,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,2,2,3,2,2,1,2,3,2,2,3,2,4,3,2,2,3,4,2,2,2,2,4,4,4,4,3,"no","no",2,2.06666666666667,2.4,3.8,"Very high huaman development",0.92
